,firm_id,firm_name,codex_category,country,city,year_founded,market,problem_1,problem_2,problem_3,analytics,ai,point_integrated,company_url,other_link,comments 
298,FIRM0786,SpringCM,Legal Document Automation,USA,Chicago,2005,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://www.springcm.com/,,"SpringCM generates, automates, manages, and stores documents and contracts."
299,FIRM0787,Icertis,Legal Document Automation,USA,Washington,2009,Corporate,Contracts,RegTech,KM,1,1,Integrated Solution,https://www.icertis.com/,,Icertis provides contract life-cycle management
300,FIRM0788,ForensicLogic,Legal Research,USA,California,2003,Corporate,Legal Research,NONE,NONE,1,0,Point Solution,https://forensiclogic.com/,,"Forensic Logic's search engine has been developed in partnership between the technology community and law enforcement to share, search and analyze information across agencies, geographies and IT systems."
301,FIRM0789,Heretik,E-Discovery,USA,Chicago,2017,Corporate,eDiscovery,RegTech,Workflow & PM,1,1,Integrated Solution,https://www.heretik.com/,,"Heretik is a machine learning solution that removes risks, meets obligations, and realizes opportunities within contracts"
302,FIRM0791,iamIP,Legal Research,Sweden,Stockholm,2013,Corporate,Legal Research,Workflow & PM,NONE,1,0,Integrated Solution,https://www.iamip.com/features,,"IamIP’s Intellectual Property platform provides a secure, web-based portal for centrally managing all published patents worldwide – from the published individual patents to setting up search alerts, sharing, commenting, monitoring and collaborating."
303,FIRM0792,Muso,E-Discovery,UK,London,2009,Corporate,eDiscovery,RegTech,NONE,1,0,Integrated Solution,https://www.muso.com/,,"MUSO has the world’s largest dataset on visits and activity around piracy sites, and provides tools for rights holders to protect their content, better understand demand for their content, and create opportunities from piracy audiences"
304,FIRM0793,HelloSign,Legal Document Automation,USA,San Francisco,2011,Corporate,Contracts,Workflow & PM,NONE,1,0,Integrated Solution,https://www.hellosign.com/,,"HelloSign offers fast, secure, and legally binding eSignatures for businesses"
305,FIRM0794,Timeular,Legal Practice Management,Austria,Graz,2016,Corporate,Legal Ops,Other Practice Tech,NONE,1,0,Point Solution,https://timeular.com/#timeular-features,,Timeular tracks time and automates timehseet filings
306,FIRM0795,Vector Legal Method,Legal Practice Management,USA,Kansas,2016,Corporate,LitTech ,Workflow & PM,Contracts,1,0,Integrated Solution,https://www.vectorlegalmethod.com/,,Vector Legal Method is a litigation managemetn platform
307,FIRM0796,LegalRaasta,Legal Document Automation,India,New Delhi,2015,Corporate,Contracts,RegTech,NONE,0,0,Point Solution,https://www.legalraasta.com/,,LegalRaasta.com is a technology platform that helps businesses and entrepreneurs with legal dcouments
308,FIRM0797,CloudLex,Legal Practice Management,USA,New York,2015,Corporate,Other Practice Tech,Workflow & PM,NONE,0,0,Integrated Solution,https://www.cloudlex.com/,,cloud-based legal platform designed exclusively for plaintiff personal injury law firms
309,FIRM0798,PracticePanther,Legal Practice Management,USA,MIami,2012,Corporate,Other Practice Tech,Workflow & PM,Legal Ops,1,0,Integrated Solution,https://www.practicepanther.com/,,
310,FIRM0802,Determine,Legal Document Automation,USA,Indiana,1996,Corporate,Contracts,RegTech,Workflow & PM,1,0,Integrated Solution,https://www.determine.com/,,Contract management software
311,FIRM0805,Mitratech,Legal Document Automation,USA,Texas,1987,Corporate,Contracts,RegTech,Workflow & PM,1,0,Integrated Solution,http://www.mitratech.com/,,Mitratech offers enterprise legal and risk management solutions
312,FIRM0807,Exterro,E-Discovery,USA,Portland,2004,Corporate,eDiscovery,Workflow & PM,NONE,1,0,Integrated Solution,https://www.exterro.com/,,Exterro’s software platform enables companies to manage and optimize all e-discovery activities.
313,FIRM0811,WebTMS,Legal Practice Management,UK,Reading,1998,Corporate,Other Practice Tech,Workflow & PM,NONE,1,0,Integrated Solution,http://www.webtms.com/,,WebTMS is a comprehensive trademark management suite that builds on record keeping and docketing to support efficient trademark management with modules for every type of IP
314,FIRM0815,Evernote,Legal Analytics,USA,California,2000,,NONE,NONE,NONE,0,0,,,,
315,FIRM0824,NotaryCam,Legal Marketplace,USA,Washington,2012,Consumer,Contracts,Peak Load / Staffing,NONE,0,0,Point Solution,https://www.notarycam.com/,,eNotary service
316,FIRM0826,Bloomsbury AI,Legal Analytics,UK,London,2015,Corporate,KM,NONE,NONE,1,1,Point Solution,http://bloomsbury.ai/,,Bloomsbury AI was acquired by Facebook
317,FIRM0828,RenewData,E-Discovery,USA,Austin,2001,Corporate,eDiscovery,NONE,NONE,1,0,Point Solution,https://www.kldiscovery.com/,,RenewData was acquired by KLDsicovery
318,FIRM0830,QDiscovery,E-Discovery,USA,Connecticut,2011,Corporate,eDiscovery,NONE,NONE,1,0,Point Solution,https://qdiscovery.com/,,
319,FIRM0221,eDepoze,E-Discovery,USA,Kansas,2012,Corporate,eDiscovery,NONE,NONE,1,0,Point Solution,https://edepoze.com/,,
320,FIRM0831,AccessData,E-Discovery,USA,Utah,1987,Corporate,eDiscovery,RegTech,NONE,1,0,Point Solution,http://www.accessdata.com/,,
321,FIRM0832,Page Vault,Legal Practice Management,USA,Chicago,2013,Corporate,Other Practice Tech,NONE,NONE,1,0,Point Solution,https://www.page-vault.com/,,It is a cloud-based Software-as-a-Service subscription solution that provides a trusted third party chain of custody for captures with the simplicity of a screenshot
322,FIRM0833,Peppermint Technology,Legal Practice Management,UK,Nottingham,2010,Corporate,Workflow & PM,KM,Legal Ops,1,0,Integrated Solution,https://www.pepperminttechnology.co.uk/,,"The Platform brings together, in one system, all the applications and data a legal provider requires to operate their business and uniquely places the client record at the centre"
323,FIRM0834,LawCanvas,Legal Document Automation,Singapore,Singapore,2013,Corporate,Contracts,NONE,NONE,0,0,Point Solution,https://app.lawcanvas.com/,,Automated contracts
324,FIRM0835,Notarize,Legal Marketplace,USA,Boston,2015,Consumer,Contracts,Peak Load / Staffing,NONE,0,0,Point Solution,https://www.notarize.com/,,eNotary service
325,FIRM0837,Legistify,Legal Marketplace,India,Noida,2014,Consumer,Peak Load / Staffing,Contracts,NONE,0,0,Integrated Solution,https://www.legistify.com/,,
326,FIRM0838,vakilsearch,Legal Document Automation,India,Chennai,2010,Corporate,Contracts,NONE,NONE,0,0,Point Solution,https://vakilsearch.com/,,Online legal document
327,FIRM0839,LegalVision,Legal Document Automation,Australia,Sydney,2012,Corporate,Contracts,Peak Load / Staffing,NONE,0,0,Integrated Solution,https://legalvision.com.au/,,Provide online legal document and also fixed fee legal service
328,FIRM0840,Avtal24,Legal Document Automation,Sweden,Stockholm,2004,Consumer,Contracts,NONE,NONE,0,0,Point Solution,https://avtal24.se/,,Online legal document
329,FIRM0841,Visabot,Legal Document Automation,USA,San Francisco,2016,Consumer,Contracts,Peak Load / Staffing,NONE,1,1,Integrated Solution,https://visabot.co/,,Immigration robot powered by artificial intelligence
330,FIRM0842,Book-It Legal,Legal Marketplace,USA,Alabama,2016,Corporate,Peak Load / Staffing,NONE,NONE,0,0,Point Solution,https://www.bookitlegal.com/,,Book-it Legal is a marketplace startup that facilitates short-term clerkships
331,FIRM0843,Lawyaw,Legal Document Automation,USA,San Francisco,2016,Corporate,Contracts,KM,Workflow & PM,1,0,Integrated Solution,https://www.lawyaw.com/video/,,Legal document automation combine with matter management
332,FIRM0844,Social Evidence,E-Discovery,USA,Florida,2015,Corporate,eDiscovery,LitTech ,NONE,1,0,Integrated Solution,https://www.linkedin.com/company/social-evidence/,,"Designed to collect, organize, and analyze information from specific social media sites for named accounts and provide the results to courts in a repeatable, legally defensible format. "
333,FIRM0845,Callisto,Legal Document Automation,USA,San Francisco,2015,Consumer,Contracts,Peak Load / Staffing,NONE,0,0,Integrated Solution,http://www.projectcallisto.org/,,Callisto is a non-profit organization that develops technology to combat sexual assault and harassment.
334,FIRM0846,Cognition IP,Legal Document Automation,USA,Palo Alto,2018,Corporate,Contracts,Other Practice Tech,NONE,0,0,,https://www.cognitionip.com/,,Cognition IP is a new-style law firm that helps clients more efficiently create and file patents and deal with other kinds of patent law
335,FIRM0847,Legatics,Legal Practice Management,UK,London,2015,Corporate,LitTech ,Workflow & PM,NONE,0,0,Integrated Solution,https://www.legatics.com/,,Legatics is an end-to-end deal platform designed to cut out deal administration and with an immediate focus on automating the conditions precedent process
336,FIRM0848,Opus 2,Legal Practice Management,UK,London,2008,Corporate,LitTech ,Workflow & PM,NONE,1,0,Integrated Solution,https://www.opus2.com/software.html,,Litigation support software
337,FIRM0849,Vable,Legal Research,UK,London,2004,Corporate,KM,NONE,NONE,1,0,Point Solution,https://www.vable.com/,,"Automate the monitoring, gathering, indexing and sharing of information from public and subscription news sources"
338,FIRM0853,FileFacets,Legal Compliance,USA,New York,2015,Corporate,RegTech,NONE,NONE,1,0,Integrated Solution,http://www.filefacets.com/,,FileFacets' cloud data analytics and content migration platform help companies comply with GDPR
